_id;id_local;id_distrito_local;desc_distrito_local;desc_barrio_local;Nombre;id_periodo_terraza;desc_periodo_terraza;DESC_CLASE;DESC_NOMBRE;;;;;;;;
122;20000172;2;ARGANZUELA          ;PALOS DE MOGUER     ;BAR SORIA;1;Anual;CALLE                   ;ANCORA                                            ;;;;;;;;
124;20001101;2;ARGANZUELA          ;IMPERIAL            ;CERVECERIA CANTALEJO RESTAURANTE;1;Anual;PASEO                   ;IMPERIAL                                          ;;;;;;;;
125;270267597;2;ARGANZUELA          ;CHOPERA             ;BAR ORENSE;1;Anual;CALLE                   ;JAIME EL CONQUISTADOR                             ;;;;;;;;
126;20001080;2;ARGANZUELA          ;CHOPERA             ;BAR EL CONQUISTADOR;1;Anual;CALLE                   ;JAIME EL CONQUISTADOR                             ;;;;;;;;
127;270055919;2;ARGANZUELA          ;CHOPERA             ;CAFETERIA LOA;1;Anual;CALLE                   ;JAIME EL CONQUISTADOR                             ;;;;;;;;
128;200001508;20;SAN BLAS-CANILLEJAS ;SIMANCAS            ;LA SEDE D'ANDRUBEN;1;Anual;CALLE                   ;VALDECANILLAS                                     ;;;;;;;;
129;270458555;12;USERA               ;MOSCARDO            ;EL RINCON DE SIXTO,;1;Anual;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
130;270524837;12;USERA               ;MOSCARDO            ;SIN R?TULO;1;Anual;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
131;270228855;12;USERA               ;MOSCARDO            ;BAR ALFIL;2;Estacional;CALLE                   ;MIRASIERRA                                        ;;;;;;;;
132;270157776;12;USERA               ;PRADOLONGO          ;BAR PISCIS;1;Anual;CALLE                   ;DOLORES BARRANCO                                  ;;;;;;;;
135;270438751;12;USERA               ;MOSCARDO            ;LA ALEGRIA;1;Anual;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
136;270490968;12;USERA               ;ALMENDRALES         ;BAR CLEMENTE;2;Estacional;CALLE                   ;CRISTO DE LA VICTORIA                             ;;;;;;;;
137;270477281;12;USERA               ;SAN FERMIN          ;CAFE BAR MARTIN;1;Anual;CALLE                   ;SAN FORTUNATO                                     ;;;;;;;;
138;270309378;2;ARGANZUELA          ;ACACIAS             ;CAFETERIA HINOJAR;1;Anual;PASEO                   ;ACACIAS                                           ;;;;;;;;
145;285031450;17;VILLAVERDE          ;SAN ANDRES          ;DON GERMAN;1;Anual;CALLE                   ;BERZOSA DE LOZOYA                                 ;;;;;;;;
146;20000056;2;ARGANZUELA          ;IMPERIAL            ;BAR RESTAURANTE MARTIN;1;Anual;PASEO                   ;IMPERIAL                                          ;;;;;;;;
147;170000809;17;VILLAVERDE          ;BUTARQUE            ;RESTAURANTE PARQUE ROSALES CERVECERIA;2;Estacional;CALLE                   ;ESTEFANITA                                        ;;;;;;;;
148;285021312;12;USERA               ;MOSCARDO            ;EL BAR;1;Anual;AVENIDA                 ;MANZANARES                                        ;;;;;;;;
149;270519524;9;MONCLOA-ARAVACA     ;ARGUELLES           ;8 1/2 LIBROS DE CINE;1;Anual;CALLE                   ;MARTIN DE LOS HEROS                               ;;;;;;;;
151;270540061;12;USERA               ;ALMENDRALES         ;R?TULO NO INFORMADO;1;Anual;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
152;270417284;12;USERA               ;ALMENDRALES         ;CAFETERIA 204;1;Anual;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
153;270534735;12;USERA               ;SAN FERMIN          ;PARRILLA BONALMA;1;Anual;AVENIDA                 ;LOS ROSALES                                       ;;;;;;;;
154;270217569;12;USERA               ;MOSCARDO            ;BAR;2;Estacional;CALLE                   ;SAN FILIBERTO                                     ;;;;;;;;
155;270156329;12;USERA               ;MOSCARDO            ;BAR LUZON;1;Anual;CALLE                   ;DOLORES SOPE?A                                    ;;;;;;;;
156;270363433;12;USERA               ;ORCASUR             ;CAFETERIA HALLEY;2;Estacional;CALLE                   ;PADRE JOSE MARIA                                  ;;;;;;;;
157;270432683;12;USERA               ;ORCASITAS           ;BAR SANCHEZ;2;Estacional;PLAZA                   ;MIL DELEGADOS                                     ;;;;;;;;
159;270280806;17;VILLAVERDE          ;LOS ANGELES         ;VENTA CARMONA;1;Anual;CALLE                   ;BOHEMIOS                                          ;;;;;;;;
160;270183220;17;VILLAVERDE          ;LOS ANGELES         ;CAFETERIA LUMAR;2;Estacional;CALLE                   ;ESCORIAZA                                         ;;;;;;;;
161;270471784;17;VILLAVERDE          ;LOS ANGELES         ;BAR RESTAURANTE MARTIN;1;Anual;CALLE                   ;LA CANCION DEL OLVIDO                             ;;;;;;;;
163;270191062;17;VILLAVERDE          ;LOS ANGELES         ;EL PILAR;1;Anual;CALLE                   ;LA DOLOROSA                                       ;;;;;;;;
164;270181096;17;VILLAVERDE          ;SAN ANDRES          ;EL PORTON;2;Estacional;CALLE                   ;DOMINGO PARRAGA                                   ;;;;;;;;
165;170000796;17;VILLAVERDE          ;LOS ANGELES         ;BAR EL RINCON DEL QUIJOTE;1;Anual;CALLE                   ;PAN Y TOROS                                       ;;;;;;;;
167;270250040;17;VILLAVERDE          ;LOS ROSALES         ;DI MADRID;1;Anual;CALLE                   ;SAHARA                                            ;;;;;;;;
168;270033525;17;VILLAVERDE          ;LOS ROSALES         ;EL ZAGUAN;1;Anual;CALLE                   ;SAHARA                                            ;;;;;;;;
171;170000283;17;VILLAVERDE          ;LOS ROSALES         ;LA BODEGUILLA IBERICA;1;Anual;CALLE                   ;VILLAJOYOSA                                       ;;;;;;;;
172;170000006;17;VILLAVERDE          ;SAN CRISTOBAL       ;BAR VIETNAM;2;Estacional;CALLE                   ;GODELLA                                           ;;;;;;;;
173;270183106;17;VILLAVERDE          ;LOS ANGELES         ;BAR JOSE LUIS;1;Anual;CALLE                   ;VIRGEN DE LOS DESAMPARADOS                        ;;;;;;;;
175;270057250;2;ARGANZUELA          ;DELICIAS            ;CAFETERIA FERROCARRIL                             ;1;Anual;CALLE                   ;FERROCARRIL                                       ;;;;;;;;
177;280017278;2;ARGANZUELA          ;CHOPERA             ;RESTARAURANTE  O'PORTI?O;1;Anual;PLAZA                   ;GENERAL MAROTO                                    ;;;;;;;;
179;280018318;2;ARGANZUELA          ;ACACIAS             ;LA MARGHERITA;1;Anual;PASEO                   ;JUAN ANTONIO VALLEJO-NAJERA BOTAS                 ;;;;;;;;
181;270299459;2;ARGANZUELA          ;IMPERIAL            ;RESTAURANTE LA POTA DOURO;1;Anual;CALLE                   ;LINNEO                                            ;;;;;;;;
182;10003543;1;CENTRO              ;PALACIO             ;CA?AS Y TAPAS;1;Anual;PLAZA                   ;HUMILLADERO                                       ;;;;;;;;
183;270373645;21;BARAJAS             ;CASCO H.BARAJAS     ;BAR LOS GALLEGOS;2;Estacional;AVENIDA                 ;LOGRO?O                                           ;;;;;;;;
184;170000258;17;VILLAVERDE          ;LOS ROSALES         ;TU BOCATA II;2;Estacional;PLAZA                   ;CHOZAS DE CANALES                                 ;;;;;;;;
186;170000611;17;VILLAVERDE          ;LOS ROSALES         ;CAFETERIA BAR LINEA 123;1;Anual;AVENIDA                 ;OROVILLA                                          ;;;;;;;;
189;270181501;17;VILLAVERDE          ;SAN ANDRES          ;BAR GALICIA;2;Estacional;CALLE                   ;ENCARNACION DEL PINO                              ;;;;;;;;
191;270400434;17;VILLAVERDE          ;LOS ANGELES         ;BAR ESTRELLA 2008;2;Estacional;CALLE                   ;LA DOLOROSA                                       ;;;;;;;;
192;170000543;17;VILLAVERDE          ;SAN ANDRES          ;BAR UNO;1;Anual;CALLE                   ;ARROYO BUENO                                      ;;;;;;;;
193;170002104;17;VILLAVERDE          ;BUTARQUE            ;KEBAB ARMENIA;2;Estacional;CALLE                   ;BERROCAL                                          ;;;;;;;;
194;170001122;17;VILLAVERDE          ;BUTARQUE            ;CAFETERIA;1;Anual;CALLE                   ;BERROCAL                                          ;;;;;;;;
197;270422013;17;VILLAVERDE          ;LOS ANGELES         ;CAFETERIA OBREGON;1;Anual;CALLE                   ;ESCORIAZA                                         ;;;;;;;;
198;170000830;17;VILLAVERDE          ;SAN ANDRES          ;EL CUERPO DEL DESEO;1;Anual;PASEO                   ;ALBERTO PALACIOS                                  ;;;;;;;;
199;270447268;17;VILLAVERDE          ;SAN CRISTOBAL       ;EL RINCON DE LOLA;2;Estacional;CALLE                   ;MONCADA                                           ;;;;;;;;
200;170000004;17;VILLAVERDE          ;LOS ANGELES         ;BAR PINILLA;1;Anual;CALLE                   ;PAN Y TOROS                                       ;;;;;;;;
201;270183583;17;VILLAVERDE          ;LOS ANGELES         ;BAR MINI PILAR;2;Estacional;AVENIDA                 ;LA VERBENA DE LA PALOMA                           ;;;;;;;;
204;270182085;17;VILLAVERDE          ;SAN CRISTOBAL       ;BAR EL CIGARRAL TOLEDANO;1;Anual;CALLE                   ;ROCAFORT                                          ;;;;;;;;
205;270181885;17;VILLAVERDE          ;SAN ANDRES          ;BAR LAS MURALLAS;2;Estacional;PASEO                   ;TALLERES                                          ;;;;;;;;
206;170000016;17;VILLAVERDE          ;SAN CRISTOBAL       ;BAR DULCI;2;Estacional;CALLE                   ;GODELLA                                           ;;;;;;;;
207;270077611;4;SALAMANCA           ;GUINDALERA          ;L'ANDECHA;1;Anual;AVENIDA                 ;BRUSELAS                                          ;;;;;;;;
209;270322801;12;USERA               ;SAN FERMIN          ;BAR PELAEZ;1;Anual;CAMINO                  ;PERALES                                           ;;;;;;;;
210;120000552;12;USERA               ;ORCASITAS           ;O TOUXEIRO;1;Anual;CALLE                   ;GAINZA                                            ;;;;;;;;
211;280049553;12;USERA               ;SAN FERMIN          ;BAR LUQUE;2;Estacional;CALLE                   ;CARABELOS                                         ;;;;;;;;
212;280051178;12;USERA               ;SAN FERMIN          ;ASAY;2;Estacional;CALLE                   ;SILVINA                                           ;;;;;;;;
213;120000138;12;USERA               ;ZOFIO               ;XALLAS;1;Anual;AVENIDA                 ;RAFAELA YBARRA                                    ;;;;;;;;
214;280064620;14;MORATALAZ           ;MEDIA LEGUA         ;CERVECERIA 100 MONTADITOS;1;Anual;CALLE                   ;CORREGIDOR DIEGO DE VALDERRABANO                  ;;;;;;;;
216;170000961;17;VILLAVERDE          ;BUTARQUE            ;SIDRERIA DEL NORTE;1;Anual;CALLE                   ;BERROCAL                                          ;;;;;;;;
217;270183625;17;VILLAVERDE          ;LOS ANGELES         ;BAR MONICO;2;Estacional;CALLE                   ;LA DOLOROSA                                       ;;;;;;;;
219;270308889;17;VILLAVERDE          ;LOS ANGELES         ;BAR LOS CAMPEONES - JAEN;2;Estacional;CALLE                   ;ESCORIAZA                                         ;;;;;;;;
220;270332045;17;VILLAVERDE          ;SAN ANDRES          ;LA POSADA DE GREEN VILLAGE;2;Estacional;CALLE                   ;MARTINEZ SECO                                     ;;;;;;;;
221;290000758;17;VILLAVERDE          ;SAN ANDRES          ;MADRETIERRA;2;Estacional;PASEO                   ;ALBERTO PALACIOS                                  ;;;;;;;;
222;270181310;17;VILLAVERDE          ;SAN ANDRES          ;EL CASTIZO;2;Estacional;CALLE                   ;ALADIERNA                                         ;;;;;;;;
223;270448230;17;VILLAVERDE          ;SAN CRISTOBAL       ;CAFETERIA BAR JUANJO Y JOSE;1;Anual;CALLE                   ;GODELLA                                           ;;;;;;;;
224;270547589;17;VILLAVERDE          ;BUTARQUE            ;BAR RESTAURANTE VITA KR;2;Estacional;CALLE                   ;BARIO                                             ;;;;;;;;
226;270401458;17;VILLAVERDE          ;SAN CRISTOBAL       ;BAR CONGO;2;Estacional;CALLE                   ;GODELLA                                           ;;;;;;;;
227;170000406;17;VILLAVERDE          ;LOS ROSALES         ;DONDE LA LOLA;1;Anual;AVENIDA                 ;OROVILLA                                          ;;;;;;;;
229;270540475;12;USERA               ;MOSCARDO            ;BAR OLIVA;1;Anual;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
